Title,Max,Min,Avg365,Current,Max Date,Min Date,Deal or No Deal
The Road (Oprah's Book Club),15.98,6.72,8.68,8.97,2017-12-14 21:36:00,2023-11-23 10:30:00,24
Six of Crows,10.99,6.00,7.34,7.00,2015-12-08 18:56:00,2024-05-16 00:28:00,20
Catan: The Novel (The Catan Series),19.99,18.99,19.26,18.99,2025-08-03 23:28:00,2025-05-05 14:44:00,0
"The Dark Forest (The Three-Body Problem Series, 2)",16.19,6.28,10.95,10.99,2019-07-13 08:12:00,2017-02-28 11:58:00,48
Bastion (Immortal Great Souls),24.99,20.60,24.99,24.99,2021-11-02 15:52:00,2022-02-08 23:00:00,100
Lost World Jurassic Park 2,22.32,12.63,19.77,-.1,2025-08-23 10:36:00,2022-08-04 16:06:00,-131
Babel,27.97,11.36,15.14,-.1,2024-05-28 21:32:00,2025-09-02 17:28:00,-69
The Graveyard Book: A Great Fall and Halloween Read for Kids,14.21,3.46,7.99,7.56,2023-12-10 11:10:00,2017-08-24 18:08:00,38
Chronicles of Narnia Box Set,38.46,28.04,34.57,38.46,2025-07-14 08:28:00,2025-05-10 07:40:00,100
Prey: A Terrifying Technothriller Page-Turner,16.99,6.04,12.39,12.39,2020-04-27 01:22:00,2017-03-16 00:00:00,58
"Divergent (Divergent Series, 1)",11.69,5.84,9.68,7.81,2018-05-16 03:30:00,2015-04-04 16:00:00,34
Sphere: A Riveting Science Fiction Thriller,19.99,6.21,16.84,15.19,2025-04-13 11:10:00,2017-03-18 19:54:00,65
The Poppy War: A Novel,18.59,10.43,14.13,11.99,2025-05-07 09:16:00,2019-08-21 06:12:00,19
American Gods: A Novel,17.99,7.86,11.26,11.79,2020-08-29 09:56:00,2024-11-24 17:08:00,39
The Picture of Dorian Gray,9.00,4.80,8.20,8.39,2011-08-05 01:00:00,2017-08-30 06:00:00,85
The 5th Wave: The First Book of the 5th Wave Series,12.99,4.51,8.95,7.90,2022-09-08 06:08:00,2017-12-14 21:28:00,40
